model,oof_macro_f1,holdout_macro_f1,holdout_auc,holdout_acc,holdout_log_loss,fit_seconds,predict_seconds,predict_ms_per_row
XGBoost,0.681848599443699,0.7033264790567998,0.8677711823745314,0.71085,0.6510614392601963,52.67431378364563,1.3801608085632324,0.06900804042816162
TabPFN-3.5,0.685275446903263,0.7017460076764412,0.8713166168787456,0.71855,0.6241230480634815,15.21924638748169,666.1532678604126,33.30766339302063
CatBoost,0.6837912446814318,0.6928894254379004,0.8683883071990004,0.69675,0.6712050584008655,29.396936655044556,0.5115325450897217,0.025576627254486083
